score,weight1,weight2,weight3,weight4,weight5,weight6,population
861, 0.454034,-0.881600,0.209738,0.821143,-0.910846,-0.689675, 0
210, -0.099993,0.543524,0.875419,0.432947,0.787474,-0.770678, 0
92, 0.899960,0.618926,-0.998256,-0.590277,0.653712,-0.111592, 0
1400, 0.670728,-0.251218,-0.176394,0.246289,0.069101,0.319301, 0
13730, -0.752530,-0.817401,0.216565,-0.360353,0.848940,-0.754566, 0
188, 0.225009,0.302974,-0.636166,-0.565253,0.124117,-0.547012, 0
565, -0.254928,-0.975876,0.996512,-0.379510,0.457071,0.783986, 0
114, -0.150188,0.357031,0.402912,-0.148444,0.766753,0.056624, 0
108, 0.739964,0.437482,0.805407,-0.436431,-0.316230,-0.125492, 0
1701, 0.882871,-0.068759,0.057107,0.099436,0.570888,-0.093953, 0
1013, 0.344869,-0.204103,-0.790979,0.708703,0.230644,0.333138, 0
132, -0.838309,0.975715,0.357262,-0.841797,-0.403795,-0.185667, 0
115, 0.942189,0.446017,-0.828637,0.345101,-0.702427,0.938117, 0
9240, -0.598275,-0.962463,0.375598,-0.792868,-0.398893,-0.940631, 0
8328, 0.081640,-0.516022,-0.009391,-0.861254,0.583413,-0.438503, 0
1616, 0.044793,-0.071718,0.357394,0.253814,-0.363015,-0.411963, 0
572, -0.413048,-0.201324,-0.436248,0.944214,-0.043121,0.159958, 0
361, -0.241454,-0.100932,-0.394025,-0.070090,-0.755831,-0.096451, 0
329, -0.131973,-0.354105,-0.058914,-0.756375,-0.146974,0.542193, 0
145, -0.697006,0.934666,-0.973830,0.293603,-0.926588,0.609584, 0
2782, -0.752530,-0.071718,0.357394,0.210998,0.848940,-0.411963, 1
1041, 0.454034,-0.881600,0.209738,0.821143,-0.910846,-0.689675, 1
1206, 0.454034,-0.881600,0.209738,0.944214,-0.910846,-0.689675, 1
285, 0.882871,-0.071718,0.357394,0.253814,-0.363015,-0.411963, 1
3459, 0.882871,-0.519418,0.057107,0.099436,0.848940,-0.093953, 1
9843, -0.598275,-0.962463,0.375598,-0.792868,0.230644,0.333138, 1
532, -0.254928,-0.251218,-0.176394,0.246289,0.069101,0.319301, 1
16917, -0.413048,-0.962463,0.375598,0.944214,-0.398893,-0.940631, 1
327, 0.344869,-0.204103,-0.790979,0.708703,0.230644,0.333138, 1
301, 0.081640,-0.975876,-0.009391,-0.379510,0.583413,0.783986, 1
1230, -0.254928,-0.975876,0.996512,-0.379510,0.457071,0.783986, 1
328, -0.413048,-0.201324,-0.436248,0.944214,-0.043121,0.159958, 1
636, 0.454034,-0.881600,0.209738,0.821143,-0.910846,-0.689675, 1
557, 0.344869,-0.204103,-0.790979,0.708703,0.230644,0.333138, 1
575, 0.670728,-0.251218,-0.176394,0.246289,0.069101,0.319301, 1
380, 0.044793,-0.071718,0.357394,0.253814,-0.363015,-0.411963, 1
797, 0.882871,-0.068759,0.057107,0.099436,0.570888,-0.093953, 1
8405, 0.081640,-0.516022,-0.009391,-0.861254,0.583413,-0.438503, 1
15513, -0.598275,-0.962463,0.375598,-0.792868,-0.398893,-0.940631, 1
4283, -0.752530,-0.817401,0.216565,-0.360353,0.848940,-0.754566, 1
349, 0.489914,-0.975876,0.996512,-0.379510,0.457071,0.783986, 2
44287, -0.598275,-0.962463,0.375598,-0.861254,0.583413,-0.438503, 2
2654, 0.081640,-0.071718,0.357394,0.210998,0.583413,-0.447189, 2
4944, -0.413048,-0.962463,0.375598,0.210998,-0.398893,-0.940631, 2
5504, -0.413048,-0.391884,0.375598,0.944214,0.230644,0.397149, 2
6000, 0.454034,-0.516022,-0.009391,0.821143,0.583413,-0.689675, 2
352, 0.454034,-0.071718,1.799185,0.210998,-0.910846,-0.689675, 2
23777, -0.413048,-0.962463,0.216565,0.944214,-0.398893,-0.940631, 2
1735, -0.254928,-0.516022,0.996512,-0.379510,-0.494094,-0.438503, 2
370, 0.454034,-0.881600,0.375598,0.821143,-0.398893,-0.028625, 2
881, 0.454034,-0.881600,0.209738,0.821143,-0.910846,-0.689675, 2
3496, 0.454034,-0.881600,0.209738,0.944214,-0.910846,-0.689675, 2
2118, -0.254928,-0.975876,0.996512,-0.379510,0.457071,0.783986, 2
1940, -0.752530,-0.071718,0.357394,0.210998,0.848940,-0.411963, 2
610, 0.882871,-0.519418,0.057107,0.099436,0.848940,-0.093953, 2
7767, -0.752530,-0.817401,0.216565,-0.360353,0.848940,-0.754566, 2
5840, 0.081640,-0.516022,-0.009391,-0.861254,0.583413,-0.438503, 2
27647, -0.598275,-0.962463,0.375598,-0.792868,0.230644,0.333138, 2
9342, -0.598275,-0.962463,0.375598,-0.792868,-0.398893,-0.940631, 2
17785, -0.413048,-0.962463,0.375598,0.944214,-0.398893,-0.940631, 2
8440, 0.454034,-0.962463,0.375598,-0.792868,0.583413,-0.940631, 3
5865, -0.413048,-0.516022,-0.009391,0.821143,-0.398893,-0.940631, 3
2924, 0.454034,-0.516022,-0.009391,0.821143,0.583413,-0.438503, 3
5953, -0.413048,-0.962463,0.216565,0.210998,-0.398893,-0.940631, 3
7348, -0.752530,-0.817401,0.216565,1.774075,0.230644,-0.754566, 3
329, -0.598275,-0.962463,-0.009391,-0.792868,0.583413,0.333138, 3
5341, 0.081640,-0.516022,-0.009391,0.821143,0.583413,-0.689675, 3
7957, -0.598275,-0.962463,1.356394,-0.861254,-0.373569,-0.940631, 3
22099, -0.413048,-0.962463,0.216565,0.944214,0.848940,-0.940631, 3
2610, 0.454034,-0.962463,0.375598,-0.792868,-0.851099,0.333138, 3
12316, -0.413048,-0.962463,0.375598,0.210998,-0.398893,-0.940631, 3
1863, -0.413048,-0.391884,0.375598,0.944214,0.230644,0.397149, 3
5210, 0.081640,-0.516022,-0.009391,-0.861254,0.583413,-0.438503, 3
7203, 0.454034,-0.516022,-0.009391,0.821143,0.583413,-0.689675, 3
7460, -0.752530,-0.817401,0.216565,-0.360353,0.848940,-0.754566, 3
5458, -0.598275,-0.962463,0.375598,-0.792868,-0.398893,-0.940631, 3
6798, -0.413048,-0.962463,0.375598,0.944214,-0.398893,-0.940631, 3
26490, -0.413048,-0.962463,0.216565,0.944214,-0.398893,-0.940631, 3
2756, -0.598275,-0.962463,0.375598,-0.792868,0.230644,0.333138, 3
1099, -0.598275,-0.962463,0.375598,-0.861254,0.583413,-0.438503, 3
14642, -0.752530,-0.962463,0.216565,0.944214,0.230644,-0.940631, 4
155, -0.598275,1.209902,1.356394,-0.861254,-0.373569,-0.940631, 4
14555, -0.752530,-0.817401,0.216565,1.076780,0.583413,-0.754566, 4
3007, -0.413048,-0.873488,0.216565,0.944214,-0.398893,-0.940631, 4
2182, 0.736305,-0.962463,0.216565,0.210998,0.583413,-0.940631, 4
4192, -0.752530,-0.817401,0.216565,-0.861254,0.848940,-0.940631, 4
567, -0.413048,0.770400,0.216565,0.944214,0.230644,-0.940631, 4
5668, -0.413048,-0.962463,0.216565,0.944214,-0.398893,-0.940631, 4
18996, -0.752530,-0.962463,0.375598,-0.360353,0.848940,-0.409699, 4
1297, -0.413048,-0.962463,0.216565,-0.861254,-0.398893,-0.940631, 4
15573, -0.413048,-0.962463,0.216565,0.210998,-0.398893,-0.940631, 4
6365, -0.413048,-0.962463,0.375598,0.944214,-0.398893,-0.940631, 4
5387, 0.454034,-0.516022,-0.009391,0.821143,0.583413,-0.689675, 4
19121, -0.752530,-0.817401,0.216565,1.774075,0.230644,-0.754566, 4
8532, -0.752530,-0.817401,0.216565,-0.360353,0.848940,-0.754566, 4
10384, -0.598275,-0.962463,1.356394,-0.861254,-0.373569,-0.940631, 4
2857, 0.454034,-0.962463,0.375598,-0.792868,0.583413,-0.940631, 4
9069, -0.413048,-0.962463,0.375598,0.210998,-0.398893,-0.940631, 4
10354, -0.413048,-0.962463,0.216565,0.944214,0.848940,-0.940631, 4
16844, -0.413048,-0.962463,0.216565,0.944214,-0.398893,-0.940631, 4
13886, -0.413048,-0.962463,0.216565,-0.360353,0.848940,-0.754566, 5
17575, -0.752530,-0.817401,0.216565,1.076780,0.848940,-0.754566, 5
11962, -0.752530,-0.962463,0.216565,1.076780,0.583413,-0.754566, 5